Fichero,Tipo,ValorBLb,TiempoBLb,ValorBLf,TiempoBLf,ValorES,TiempoES,MejorValor
GKD-Ia_11_n10_m4.txt,MMDP,82.1559,.007199538,82.1559,.007134407,82.1559,.017045105,89.0332
GKD-Ia_11_n10_m4.txt,MMDP,89.0332,.007653758,60.2429,.003804176,47.2926,.004049761,89.0332
GKD-Ia_11_n10_m4.txt,MMDP,91.2369,.009183899,91.2369,.004304777,82.1559,.005364616,89.0332
GKD-Ia_12_n10_m4.txt,MMDP,164.659,.007093078,136.909,.004654429,136.909,.004161321,181.3179
GKD-Ia_12_n10_m4.txt,MMDP,197.531,.009440737,164.659,.004706690,164.659,.004294031,181.3179
GKD-Ia_12_n10_m4.txt,MMDP,197.531,.014286108,164.659,.006004791,164.659,.005526987,181.3179
GKD-Ia_1_n10_m2.txt,MMDP,1e+06,.007254503,1e+06,.007447820,1e+06,.004254695,243.9725
GKD-Ia_1_n10_m2.txt,MMDP,243.973,.006189443,168.484,.004257244,168.484,.003865213,243.9725
GKD-Ia_1_n10_m2.txt,MMDP,243.973,.010052862,168.484,.004157345,168.484,.020689843,243.9725
GKD-Ia_2_n10_m2.txt,MMDP,191.442,.006422119,158.069,.005182693,158.069,.005236754,210.6504
GKD-Ia_2_n10_m2.txt,MMDP,191.442,.013542762,158.069,.004456738,158.069,.007668942,210.6504
GKD-Ia_2_n10_m2.txt,MMDP,1e+06,.006235268,1e+06,.007238112,1e+06,.004035316,210.6504
