ValorBLb,TiempoBLb,ValorBLf,TiempoBLf,ValorES,TiempoES,MejorValor
"82,1559","0,007208202","82,1559","0,007645035","82,1559","0,005237399","89,0332"
"89,0332","0,00723157","60,2429","0,00498632","47,2926","0,004258734","89,0332"
"91,2369","0,015513132","91,2369","0,004444269","82,1559","0,004367179","89,0332"
"164,659","0,00706219","136,909","0,004826728","136,909","0,005446042","181,3179"
"197,531","0,006624749","164,659","0,004857245","164,659","0,004124323","181,3179"
"197,531","0,008993222","164,659","0,012715469","164,659","0,004321505","181,3179"
"195,461","0,009389456","243,973","0,013724626","243,973","0,004472638","243,9725"
"243,973","0,006167893","168,484","0,004661532","168,484","0,003981704","243,9725"
"243,973","0,008219502","168,484","0,007931931","168,484","0,00493016","243,9725"
"137,466","0,006840017","137,466","0,004799889","131,04","0,004396848","153,6792"
"157,308","0,007235402","153,679","0,005460427","128,087","0,003898779","153,6792"
"157,308","0,016380943","153,679","0,010909091","128,087","0,005363431","153,6792"
"77,7428","0,006844545","77,7428","0,009360211","77,7428","0,003803043","77,7428"
"77,7428","0,007031338","55,6647","0,004220526","77,7428","0,003868926","77,7428"
"78,5223","0,012309566","77,7428","0,004144059","77,7428","0,004406836","77,7428"
"191,442","0,006228107","158,069","0,005991581","158,069","0,005060903","210,6504"
"191,442","0,006371277","158,069","0,004012637","158,069","0,00475358","210,6504"
"210,65","0,006710965","192,442","0,007069426","210,65","0,004816701","210,6504"
"61,2","0,010094892","46,7058","0,003994071","43,9072","0,003996875","86,1372"
"61,2","0,011059599","46,7058","0,003709685","43,9072","0,00393801","86,1372"
"86,1372","0,01339831","50,2886","0,004123817","50,2886","0,005583256","86,1372"
"127,07","0,009596384","101,085","0,004989403","95,7881","0,004500193","127,0696"
"127,07","0,011330272","101,085","0,004916913","95,7881","0,004049554","127,0696"
"137,448","0,010391062","129,185","0,004549595","115,798","0,007420504","127,0696"
"170,275","0,012151246","153,563","0,005084582","153,563","0,005274483","156,056"
"170,275","0,014555832","153,563","0,005249847","153,563","0,004774425","156,056"
"170,275","0,016323003","153,563","0,004586588","153,563","0,004438902","156,056"
"156,109","0,010704167","133,351","0,005375199","130,331","0,013269211","144,9422"
"156,109","0,012193665","130,331","0,004965666","121,517","0,015718737","144,9422"
"156,109","0,017984425","130,331","0,004157966","121,517","0,003845135","144,9422"
"114,311","0,011640756","102,841","0,005008016","102,841","0,004504075","113,9953"
"114,311","0,01248138","102,841","0,004497924","102,841","0,0047918","113,9953"
"114,311","0,013885773","102,841","0,004902357","102,841","0,005839287","113,9953"
"148,989","0,011019959","144,328","0,00412199","144,328","0,004564848","148,9895"
"148,989","0,012509801","144,328","0,00529015","144,328","0,005724148","148,9895"
"148,989","0,014554215","144,328","0,007838848","144,328","0,00402841","148,9895"
"130,123","0,031657346","104,169","0,004233248","104,169","0,004401541","130,986"
"130,123","0,034394484","104,169","0,004253257","104,169","0,004577879","130,986"
"130,123","0,034551825","104,169","0,009847906","104,169","0,010789341","130,986"
"167,216","0,032189431","141,293","0,00602583","158,117","0,004517139","184,0454"
"167,216","0,032739045","141,293","0,00561142","158,117","0,005095937","184,0454"
"167,216","0,04013968","141,293","0,005599867","158,117","0,004686698","184,0454"
"148,052","0,032810211","116,068","0,005173778","117,573","0,004606824","155,865"
"148,052","0,034442182","116,068","0,005119003","117,573","0,005316347","155,865"
"148,052","0,038264291","116,068","0,006060695","117,573","0,005134163","155,865"
"98,081","0,037363289","68,85","0,007565537","86,76","0,004898664","111,9867"
"98,081","0,03804871","68,85","0,008584534","86,76","0,004952032","111,9867"
"98,081","0,056589353","68,85","0,00713751","86,76","0,004471202","111,9867"
"114,7","0,041023701","94,0849","0,011378271","93,6582","0,005205578","118,0926"
"114,7","0,044904839","94,0849","0,012763854","93,6582","0,005148932","118,0926"
"114,7","0,058641085","94,0849","0,011693403","93,6582","0,005492553","118,0926"
"103,009","0,044086645","82,211","0,009528104","82,211","0,005752663","107,7586"
"103,009","0,046838429","82,211","0,009862229","82,211","0,005720524","107,7586"
"105,459","0,053796936","82,211","0,010323145","82,211","0,004952474","107,7586"
"65,3484","0,049027194","59,9078","0,00632963","59,8853","0,005723825","70,7563"
"65,3484","0,049820729","65,3484","0,006173962","59,9078","0,005312787","70,7563"
"65,3484","0,05453649","65,3484","0,015770735","59,9078","0,00547389","70,7563"
"124,483","0,056345638","113,891","0,015147173","99,9798","0,006635723","124,4833"
"124,483","0,057894609","113,891","0,0130079","99,9798","0,005118747","124,4833"
"124,483","0,059596688","113,891","0,020575432","99,9798","0,005620507","124,4833"
"6,2153","29,780295597","5,32447","0,06164423","6,68207","0,592008647","10,47"
"6,2153","30,907501378","5,32447","0,050005019","6,68207","0,577337441","10,47"
"6,2153","31,430380787","5,32447","0,061935742","6,68207","0,705997818","10,47"
"6,10492","30,411507584","6,10492","14,678216245","5,83009","0,604465589","10,47"
"6,10492","30,937402842","6,10492","14,58708173","5,83009","0,593314527","10,47"
"6,10492","32,830370852","6,10492","14,639217051","5,83009","0,619487133","10,47"
"5,30471","29,315307801","5,30471","6,981487025","6,40703","0,562549565","10,38"
"5,30471","30,145299304","5,30471","6,544071831","6,40703","0,536776279","10,38"
"5,30471","31,283325187","5,30471","6,526270362","6,40703","0,535403751","10,38"
"5,55248","27,268603598","5,55248","30,154950046","6,65958","0,586863062","10,29"
"5,55248","29,841199648","5,55248","29,969405986","6,65958","0,598175073","10,29"
"5,55248","30,078368475","5,55248","29,801046613","6,65958","0,593766181","10,29"
"5,001","30,72574287","5,001","30,81052938","6,21128","0,595790486","10,49"
"5,001","31,762877563","5,001","30,67082449","6,21128","0,576672018","10,49"
"5,001","31,927374349","5,001","32,476327771","6,21128","0,607846232","10,49"
"5,12543","27,229503817","5,12543","6,018820006","6,40781","0,581700315","10,61"
"5,12543","29,871298425","5,12543","6,106803994","6,40781","0,630414684","10,61"
"5,12543","31,283048947","5,12543","6,371994318","6,40781","0,542246789","10,61"
"5,83866","30,215793778","5,83866","12,084271184","5,78705","0,755748323","10,61"
"5,83866","30,811758805","5,83866","11,358340804","5,78705","0,716409108","10,61"
"5,83866","30,964066375","5,83866","10,887422173","5,78705","0,615979547","10,61"
"5,05964","28,934080409","5,05964","29,995270784","6,44438","0,593911232","10,53"
"5,05964","30,116911952","5,05964","29,919552428","6,44438","0,551302445","10,53"
"5,05964","30,189148797","5,05964","30,409463497","6,44438","0,512929272","10,53"
"4,15211","30,350023394","4,15211","29,753804276","6,04152","0,627373267","10,54"
"4,15211","30,565052864","4,15211","30,172173794","6,04152","0,626029442","10,54"
"4,15211","30,678079077","4,15211","30,794475956","6,04152","0,625126997","10,54"
"5,09411","30,147866289","5,09411","12,690285088","6,02329","0,598652357","10,56"
"5,09411","30,302844218","5,09411","13,229428477","6,02329","0,626324497","10,56"
"5,09411","30,479710608","5,09411","12,661022063","6,02329","0,575665457","10,56"
"4,61844","29,929101817","4,61844","31,300696847","6,10819","0,62185882","10,59"
"4,61844","30,225676482","4,61844","29,478540345","6,10819","0,589144948","10,59"
"4,61844","30,634143645","4,61844","30,242070911","6,10819","0,599534644","10,59"
"6,03904","29,566723247","6,03904","22,804332104","6,17252","0,540018207","10,56"
"6,03904","29,857266327","6,03904","22,447873309","6,17252","0,529316392","10,56"
"6,03904","30,063495386","6,03904","22,596693885","6,17252","0,485313745","10,56"
"4,64435","31,131956331","4,64435","30,692794673","6,31744","0,543894566","10,63"
"4,64435","31,984066074","4,64435","31,06124858","6,31744","0,555901918","10,63"
"4,64435","32,792817732","4,64435","32,070338621","6,31744","0,534886982","10,63"
"5,67627","29,686336186","5,67627","18,911094298","6,14492","0,480370351","10,43"
"5,67627","29,84068883","5,67627","18,933105793","6,14492","0,54670896","10,43"
"5,67627","29,956769001","5,67627","19,20770479","6,14492","0,481201246","10,43"
"4,39204","29,897277902","4,39204","30,116345885","6,1498","0,545426694","10,54"
"4,39204","30,034757665","4,39204","27,969087855","6,1498","0,558394665","10,54"
"4,39204","30,380521261","4,39204","30,367055876","6,1498","0,564290385","10,54"
"5,43231","29,739376115","5,43231","12,51843076","6,50077","0,589095741","10,51"
"5,43231","29,780239698","5,43231","12,390885389","6,50077","0,572753715","10,51"
"5,43231","29,957844349","5,43231","12,589434253","6,50077","0,573768302","10,51"
"5,38981","30,689957328","5,38981","30,779806019","6,11146","0,562295991","10,37"
"5,38981","31,2484591","5,38981","30,838695502","6,11146","0,510328953","10,37"
"5,38981","31,302611993","5,38981","32,509569381","6,11146","0,580354061","10,37"
"5,16527","30,969446726","5,16527","30,943100576","6,58635","0,590518947","10,57"
"5,16527","31,275426309","5,16527","31,224280655","6,58635","0,617220692","10,57"
"5,16527","32,895013281","5,16527","31,501469733","6,58635","0,572641767","10,57"
"6,11474","28,389676106","6,11474","16,421839615","6,72309","0,58731675","10,52"
"6,11474","30,364114384","6,11474","17,326846878","6,72309","0,614571333","10,52"
"6,11474","30,754486837","6,11474","16,312022435","6,72309","0,571242415","10,52"
"5,15946","29,867748262","5,15946","29,674068909","6,07618","0,58810115","10,26"
"5,15946","30,022655073","5,15946","30,888284489","6,07618","0,567517176","10,26"
"5,15946","30,760270681","5,15946","30,773041926","6,07618","0,572182227","10,26"
