Fichero,Tipo,Mínimo,Máximo,Tiempo
"phub_100_10_10.txt",CPH,1e+06,1e+06,.929190045
"phub_100_10_1.txt",CPH,1e+06,1e+06,.933181147
"phub_100_10_2.txt",CPH,1e+06,1e+06,1.051922120
"phub_100_10_3.txt",CPH,1e+06,1e+06,.924809057
"phub_100_10_4.txt",CPH,1e+06,1e+06,.856162135
"phub_100_10_5.txt",CPH,1e+06,1e+06,1.014901281
"phub_100_10_6.txt",CPH,1e+06,1e+06,.918383395
"phub_100_10_7.txt",CPH,1e+06,1e+06,.915550527
"phub_100_10_8.txt",CPH,1e+06,1e+06,.873192803
"phub_100_10_9.txt",CPH,1e+06,1e+06,.963983268
"phub_50_5_10.txt",CPH,1e+06,1e+06,.636717079
"phub_50_5_1.txt",CPH,1e+06,1e+06,.553282357
"phub_50_5_2.txt",CPH,1e+06,1e+06,.498169837
"phub_50_5_3.txt",CPH,1e+06,1e+06,.483808324
"phub_50_5_4.txt",CPH,1e+06,1e+06,.601653620
"phub_50_5_5.txt",CPH,1e+06,1e+06,.552170418
"phub_50_5_6.txt",CPH,1e+06,1e+06,.494678010
"phub_50_5_7.txt",CPH,1e+06,1e+06,.620016407
"phub_50_5_8.txt",CPH,1e+06,1e+06,.550743915
"phub_50_5_9.txt",CPH,1e+06,1e+06,.546401510
"arc130.mtx.rnd",CWP,6839,28831,9.826664822
"ash85.mtx.rnd",CWP,2187,3894,2.785775215
"bcspwr01.mtx.rnd",CWP,155,475,.411784736
"bcspwr02.mtx.rnd",CWP,173,784,.743207543
"bcspwr03.mtx.rnd",CWP,1939,5222,7.213431715
"bcsstk01.mtx.rnd",CWP,846,2065,.603024037
"bcsstk02.mtx.rnd",CWP,14106,34472,1.567248252
"bcsstk04.mtx.rnd",CWP,32372,45687,10.728207423
"bcsstk05.mtx.rnd",CWP,24680,34091,16.837346453
"bcsstk22.mtx.rnd",CWP,3605,5844,5.948502016
"can__144.mtx.rnd",CWP,9241,18466,13.388224495
"can__161.mtx.rnd",CWP,13725,19273,18.248797300
"curtis54.mtx.rnd",CWP,709,1604,.796742617
"dwt__234.mtx.rnd",CWP,2414,4089,7.935865300
"ejemplo.txt",CWP,0,16,.055537898
"fs_183_1.mtx.rnd",CWP,9287,38880,26.800668979
"fs_183_3.mtx.rnd",CWP,9287,38880,28.089193412
"fs_183_4.mtx.rnd",CWP,9287,38880,28.053581669
"fs_183_6.mtx.rnd",CWP,9287,38880,29.348444205
"gent113.mtx.rnd",CWP,5611,14127,5.182258991
"gre__115.mtx.rnd",CWP,3305,6749,6.898551441
"gre__185.mtx.rnd",CWP,14895,23797,28.783426931
"ibm32.mtx.rnd",CWP,198,791,.271184960
"impcol_b.mtx.rnd",CWP,1546,4415,1.014034304
"impcol_c.mtx.rnd",CWP,5448,10424,11.287191402
"lns__131.mtx.rnd",CWP,3466,7765,8.228509595
"lund_a.mtx.rnd",CWP,25235,31422,13.958675919
"lund_b.mtx.rnd",CWP,25080,31470,14.241177115
"mcca.mtx.rnd",CWP,36268,58855,22.678023701
"nos1.mtx.rnd",CWP,7138,9240,18.690273837
"nos4.mtx.rnd",CWP,2648,5716,6.405711784
"pores_1.mtx.rnd",CWP,279,681,.272849345
"steam3.mtx.rnd",CWP,3491,8198,2.450121155
"west0132.mtx.rnd",CWP,5194,12418,12.507199553
